title,product_price,original_price,price_w_discount,url
Building Blocks Toys for Kids | Educational and Learning Puzzle | 120 Pcs (Multicolor),259,599,233.10,https://snooplay.in/products/building-blocks-toys-for-kids-educational-and-learning-puzzle-120-pcs-multicolor
UNO 2010 Card Game (7 Years till Grown Ups),MRP: 249.00,,,https://snooplay.in/products/uno-2010-card-game-7-years-till-grown-ups
UNO Cricket Card Game (7 Years till Grown Ups),MRP: 199.00,,,https://snooplay.in/products/uno-cricket-card-game-7-years-till-grown-ups#MainContent
UNO 2010 Card Game (7 Years till Grown Ups),MRP: 249.00,,,https://snooplay.in/products/uno-2010-card-game-7-years-till-grown-ups#MainContent
Fluffy Coral Soft Toy (6 Months - 7 Years) | Yellow,MRP: 549.00,,494.10,https://snooplay.in/products/fluffy-coral-soft-toy-6-months-7-years-yellow#MainContent
Archery Set with Glowing Sword & Suction Arrows (4-8 Years),515,599,463.50,https://snooplay.in/products/archery-set-with-glowing-sword-suction-arrows-4-8-years#MainContent
4-in-1 Wonders of India Jumbo Jigsaw Puzzle - 4 x 99 Pieces (5-6 Years),299,330,269.10,https://snooplay.in/products/4-in-1-wonders-of-india-jumbo-jigsaw-puzzle-4-x-99-pieces-5-6-years#MainContent
5 in 1 Craft Kit For Kids - Art & Craft (5-10 Years),525,700,472.50,https://snooplay.in/products/5-in-1-craft-kit-for-kids-art-craft-5-10-years#MainContent
Wooden Blocks & Puzzles Game (1-2 Years),MRP: 949.00,,854.10,https://snooplay.in/products/wooden-blocks-puzzles-game-1-2-years#MainContent
Christmas Craft Kit (4-8 Years),599,699,539.10,https://snooplay.in/products/christmas-craft-kit-4-8-years#MainContent
Pendulum - STEM Educational DIY Wooden Puzzle (12-17 Years),"1,500","1,650","1,350",https://snooplay.in/products/pendulum-stem-educational-diy-wooden-puzzle-12-17-years#MainContent
DIY Robotics & AI Kit – STEM Projects with Modular Electronics (8-14 Years),"3,499","4,000","3,149.10",https://snooplay.in/products/diy-robotics-ai-kit-stem-projects-with-modular-electronics-8-14-years#MainContent
